ID,OfferOfAdmissionExtended,GPA,GRE,TOEFL,Major,CollegeRegion,CollegeName,State,Dom_Int,Matriculating,Gender,UniRank
1,YES,3.34,168,111,Management,Spain,Spain,NA,INT,NO,Male,
104,YES,3.82,170,NA,Statistics,USA,Urbana,Illinois,DOM,NO,Female,46
3,YES,3.79,159,NA,Engineering,India,NUST,NA,INT,NO,Male,
4,YES,3.77,160,NA,CS,USA,Illinois,Illinois,DOM,NO,Male,46
5,YES,3.91,168,NA,Math,USA,Texas,Texas,DOM,NO,Male,49
128,YES,3.84,168,NA,Statistics,USA,Urbana,Illinois,DOM,NO,Female,46
7,YES,3.69,170,NA,Statistics,USA,Northwestern,Illinois,DOM,NO,Male,10
8,YES,3.67,169,NA,Engineering,China,China,NA,INT,NO,Male,
179,YES,3.51,170,NA,Engineering,USA,Urbana,Illinois,DOM,YES,Male,46
10,YES,3.94,170,110,Economics,Korea,Korea,NA,INT,NO,Female,
11,YES,3.84,167,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
12,YES,3.79,170,109,Statistics,China,China,NA,INT,NO,Male,
13,YES,3.97,165,NA,Math,USA,Madison,Wisconsin,DOM,NO,Female,49
211,YES,3.46,168,NA,Math,USA,Urbana,Illinois,DOM,YES,Male,46
15,YES,3.58,170,102,Statistics,China,China,NA,INT,NO,Male,
16,YES,3.8,164,NA,Management,USA,NewYork,New York,DOM,NO,Male,30
17,YES,3.24,167,NA,Accounting,China,China,NA,INT,NO,Female,
18,YES,4,168,108,Economics,USA,Madison,Wisconsin,DOM,NO,Female,49
19,YES,3.93,170,113,Finance,China,China,NA,INT,NO,Female,
20,YES,3.43,170,NA,Math,China,China,NA,INT,NO,Female,
21,YES,3.45,166,NA,Statistics,USA,Berkeley,California,DOM,NO,Female,22
22,YES,3.71,160,NA,Economics,USA,Tufts,Massachusetts,DOM,NO,Female,27
23,YES,3.8,165,NA,Math,USA,Penn,Pennsylvania,DOM,NO,Male,8
24,YES,3.77,170,NA,Math,USA,California,California,DOM,NO,Female,30
25,YES,3.03,166,NA,Engineering,USA,Military,NA,DOM,NO,Male,
26,YES,3.49,165,NA,Math,USA,Colby,Maine,DOM,NO,Female,18
27,YES,3.88,168,NA,Math,USA,California,California,DOM,NO,Female,30
28,YES,3.67,169,105,Finance,China,China,NA,INT,NO,Female,
29,YES,3.65,170,105,Math,China,China,NA,INT,NO,Male,
30,YES,3.71,163,NA,Statistics,USA,Carolina,North Carolina,DOM,NO,Female,30
31,YES,3.49,170,NA,Math,USA,Carolina,North Carolina,DOM,NO,Male,30
32,YES,3.68,170,108,Other,China,China,NA,INT,NO,Female,
33,YES,3.82,170,NA,Math,USA,Michigan,Michigan,DOM,NO,Female,85
34,YES,3.32,167,NA,CS,USA,NewYork,New York,DOM,NO,Male,30
35,YES,3.82,169,105,Accounting,China,China,NA,INT,NO,Male,
36,YES,4,170,105,Economics,China,China,NA,INT,NO,Female,
37,YES,3.81,169,112,Engineering,China,China,NA,INT,NO,Female,
38,YES,3.94,168,102,Other,China,China,NA,INT,NO,Female,
225,YES,3.56,169,NA,Statistics,USA,Urbana,Illinois,DOM,YES,Female,46
40,YES,3.73,166,NA,Other,USA,UMass,Massachusetts,DOM,NO,Male,70
41,YES,2.8,161,NA,Engineering,USA,Georgia,Georgia,DOM,NO,Female,35
42,YES,3.94,168,107,Management,China,China,NA,INT,NO,Female,
43,YES,3.92,169,NA,Other,China,China,NA,INT,NO,Male,
44,YES,3.54,165,NA,Economics,USA,UMass,Massachusetts,DOM,NO,Female,70
45,YES,3.99,170,NA,Statistics,USA,Berkeley,California,DOM,NO,Female,22
46,YES,3.46,169,109,Engineering,China,China,NA,INT,NO,Female,
47,YES,3.14,163,NA,Engineering,USA,UMass,Massachusetts,DOM,NO,Female,70
48,YES,3.62,170,102,Management,China,China,NA,INT,NO,Female,
49,YES,3.71,166,104,CS,China,China,NA,INT,NO,Female,
50,YES,3.68,168,NA,Math,USA,Madison,Wisconsin,DOM,NO,Male,49
51,YES,3.91,168,NA,Other,China,China,NA,INT,NO,Female,
235,YES,4,161,NA,Finance,USA,Urbana,Illinois,DOM,YES,Female,46
53,YES,3.58,NA,106,Management,China,China,NA,INT,NO,Female,
54,YES,4,168,NA,Economics,UK,London,NA,INT,NO,Male,
55,YES,3.92,170,NA,Statistics,USA,California,California,DOM,NO,Male,30
56,YES,3.62,167,NA,Economics,USA,Cornell,New York,DOM,NO,Male,16
57,YES,3.5,168,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
58,YES,3.94,168,107,Economics,China,China,NA,INT,NO,Male,
59,YES,3.53,170,NA,Math,USA,California,California,DOM,NO,Female,30
60,YES,3.77,167,102,Math,China,China,NA,INT,NO,Female,
61,YES,3.46,170,NA,Engineering,USA,Case Western,Ohio,DOM,NO,Male,42
62,YES,3.31,169,105,Statistics,China,China,NA,INT,NO,Female,
63,YES,3.95,167,106,Management,China,China,NA,INT,NO,Female,
64,YES,3.35,170,NA,Management,USA,Emory,Georgia,DOM,NO,Female,21
65,YES,3.6,169,NA,Math,USA,UMass,Massachusetts,DOM,NO,Female,70
66,YES,3.88,170,114,Math,China,China,NA,INT,NO,Female,
67,YES,3.96,170,NA,Math,USA,Iowa,Iowa,DOM,NO,Male,89
68,YES,3.55,169,103,CS,China,China,NA,INT,NO,Male,
69,YES,3.59,168,105,Statistics,China,China,NA,INT,NO,Female,
70,YES,3.85,170,105,Economics,China,China,NA,INT,NO,Male,
71,YES,3.9,169,NA,Math,USA,Northeastern,Illinois,DOM,NO,Male,44
72,YES,3.82,167,100,Economics,China,China,NA,INT,NO,Female,
73,YES,3.74,168,NA,Statistics,USA,California,California,DOM,NO,Female,30
74,YES,3.93,169,104,Other,China,China,NA,INT,NO,Female,
75,YES,3.22,161,NA,Math,USA,California,California,DOM,NO,Female,30
76,YES,3.86,170,115,Other,China,China,NA,INT,NO,Female,
77,YES,3.63,167,NA,Math,USA,UMass,Massachusetts,DOM,NO,Female,70
78,YES,3.45,170,NA,Math,USA,Pittsburgh,Pittsburgh,DOM,NO,Male,70
79,YES,3.99,170,110,Management,China,China,NA,INT,NO,Female,
80,YES,3.75,169,NA,Economics,USA,NewYork,New York,DOM,NO,Male,30
81,YES,3.34,161,NA,CS,USA,California,California,DOM,NO,Male,30
82,YES,3.84,168,NA,Economics,USA,Penn,Pennsylvania,DOM,NO,Female,8
83,YES,3.47,168,100,Other,China,China,NA,INT,NO,Female,
84,YES,3.65,162,NA,Statistics,USA,GWU,DC,DOM,NO,Male,63
85,YES,3.43,170,NA,CS,USA,Madison,Wisconsin,DOM,NO,Male,49
86,YES,3.88,169,108,Statistics,China,China,NA,INT,NO,Male,
87,YES,3.74,170,114,Management,China,China,NA,INT,NO,Female,
88,YES,3.97,160,NA,Economics,USA,California,California,DOM,NO,Female,30
89,YES,3.94,169,NA,Economics,USA,UMass,Massachusetts,DOM,NO,Female,70
90,YES,3.73,165,NA,Economics,USA,UMass,Massachusetts,DOM,NO,Female,70
91,YES,3.86,170,NA,Physics,USA,Arizona,Arizona,DOM,NO,Male,56
92,YES,3.28,165,NA,Statistics,USA,Florida,Florida,DOM,NO,Male,56
93,YES,3.17,169,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
94,YES,3.41,162,NA,Math,USA,UMass,Massachusetts,DOM,NO,Female,70
95,YES,3.98,165,NA,Math,Scotland,McGill,NA,INT,NO,Male,
96,YES,3.6,167,NA,CS,USA,Berkeley,California,DOM,NO,Male,22
97,YES,3.7,170,104,CS,China,China,NA,INT,NO,Male,
98,YES,3.83,168,107,Economics,China,China,NA,INT,NO,Female,
99,YES,3.99,170,112,Engineering,India,India,NA,INT,NO,Female,
100,YES,3.94,169,NA,Math,USA,Purdue,Indiana,DOM,NO,Female,56
101,YES,3.93,169,NA,Math,USA,Rhodes,Tennessee,DOM,NO,Male,51
102,YES,3.94,170,113,Math,USA,Penn,Pennsylvania,DOM,NO,Male,8
103,YES,3.74,170,NA,Math,USA,Emory,Georgia,DOM,NO,Male,21
248,YES,3.22,169,NA,Math,USA,Urbana,Virginia,DOM,YES,Male,46
105,YES,2.96,170,112,Math,China,China,NA,INT,NO,Male,
106,YES,3.57,170,NA,CS,China,China,NA,INT,NO,Female,
107,YES,3.67,169,NA,CS,USA,NewYork,New York,DOM,NO,Male,30
108,YES,3.6,167,NA,Math,USA,Notre Dame,Indiana,DOM,NO,Female,18
109,YES,3.49,170,NA,Accounting,China,China,NA,INT,NO,Female,
110,YES,3.7,162,NA,Statistics,China,China,NA,INT,NO,Female,
111,YES,3.94,168,NA,Finance,China,China,NA,INT,NO,Male,
112,YES,3.58,170,NA,Math,USA,Purdue,Indiana,DOM,NO,Male,56
113,YES,3.2,170,106,CS,China,Northeastern,Illinois,INT,NO,Male,
114,YES,3.62,170,NA,Math,USA,Bucknell,Pennsylvania,DOM,NO,Female,36
254,YES,3.74,168,NA,Statistics,USA,Urbana,Illinois,DOM,YES,Female,46
116,YES,3.72,158,NA,Statistics,USA,California,California,DOM,NO,Male,30
117,YES,3.7,168,NA,Other,USA,Ohio,Ohio,DOM,NO,Female,56
118,YES,3.67,167,NA,Engineering,USA,California,California,DOM,NO,Male,30
119,YES,3.7,170,NA,Math,China,China,NA,INT,NO,Female,
120,YES,3.45,161,NA,Math,USA,Indiana,Indiana,DOM,NO,Male,89
121,YES,3.82,170,NA,Statistics,USA,Purdue,Indiana,DOM,NO,Male,56
122,YES,3.72,170,NA,Math,USA,NewYork,New York,DOM,NO,Male,30
123,YES,3.79,169,NA,Economics,USA,Missouri,Missouri,DOM,NO,Male,129
124,YES,3.51,169,NA,Statistics,USA,Berkeley,California,DOM,NO,Female,22
125,YES,3.58,167,NA,Math,China,China,NA,INT,NO,Male,
126,YES,3.57,170,106,Physics,China,China,NA,INT,NO,Female,
127,YES,3.39,169,NA,Math,USA,California,California,DOM,NO,Female,30
261,YES,3.3,167,NA,Statistics,USA,Urbana,Illinois,DOM,YES,Female,46
129,YES,4,170,NA,Math,USA,NewYork,New York,DOM,NO,Male,30
130,YES,3.95,170,103,Finance,China,China,NA,INT,NO,Male,
131,YES,3.89,168,NA,Accounting,USA,Ohio,Ohio,DOM,NO,Female,56
132,YES,3.64,170,NA,Statistics,USA,Berkeley,California,DOM,NO,Male,22
133,YES,3.94,168,NA,Statistics,USA,Case Western,Ohio,DOM,NO,Female,42
134,YES,3.45,169,103,CS,China,China,NA,INT,NO,Female,
135,YES,3.77,169,107,Other,China,China,NA,INT,NO,Female,
136,YES,3.65,170,100,Economics,China,China,NA,INT,NO,Female,
137,YES,3.6,166,NA,Math,USA,Ohio,Ohio,DOM,NO,Female,56
138,YES,3.34,168,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
139,YES,3.65,170,108,Math,China,China,NA,INT,NO,Male,
140,YES,3.72,170,NA,Economics,USA,London,NA,DOM,NO,Male,100
141,YES,3.74,170,NA,Math,USA,California,California,DOM,NO,Male,30
142,YES,3.53,170,107,Math,China,China,NA,INT,NO,Female,
296,NO,3.1,158,NA,Economics,USA,Urbana,Illinois,DOM,NO,Male,46
144,YES,3.61,168,NA,Other,UK,London,NA,INT,NO,Female,
145,YES,3.62,166,NA,Math,USA,Penn,Pennsylvania,DOM,NO,Female,8
146,YES,3.61,169,NA,Statistics,USA,California,California,DOM,NO,Female,30
147,YES,3.56,168,NA,Math,USA,NewYork,New York,DOM,NO,Male,30
148,YES,3.57,168,NA,Math,USA,California,California,DOM,NO,Male,30
149,YES,3.86,170,NA,Math,USA,Indiana,Indiana,DOM,NO,Male,89
150,YES,3.98,170,NA,Math,USA,Ohio,Ohio,DOM,NO,Female,56
151,YES,3.9,169,116,Economics,China,China,NA,INT,NO,Female,
152,YES,3.82,170,107,Engineering,China,China,NA,INT,NO,Male,
153,YES,3.49,165,NA,Math,USA,California,California,DOM,NO,Female,30
154,YES,3.28,170,107,Management,China,China,NA,INT,NO,Male,
155,YES,3.76,168,NA,Math,USA,Northeastern,Illinois,DOM,NO,Female,44
156,YES,3.71,170,105,Engineering,China,China,NA,INT,NO,Male,
157,YES,3.66,170,100,Finance,China,China,NA,INT,NO,Male,
158,YES,3.77,170,NA,Accounting,USA,Northeastern,Illinois,DOM,NO,Female,44
159,YES,3.81,170,NA,Engineering,USA,Madison,Wisconsin,DOM,NO,Male,49
160,YES,3.63,169,NA,Statistics,USA,California,California,DOM,NO,Male,30
161,YES,3.8,170,110,Statistics,China,China,NA,INT,NO,Female,
162,YES,3.51,NA,108,Economics,China,China,NA,INT,NO,Male,
163,YES,3.92,170,NA,Statistics,USA,Northwestern,Illinois,DOM,NO,Male,10
164,YES,3.62,170,NA,Management,China,China,NA,INT,NO,Female,
165,YES,3.53,164,NA,Statistics,Canada,British Columbia,NA,INT,NO,Female,
166,YES,3.64,163,NA,Engineering,USA,Oklahoma,Oklahoma,DOM,NO,Male,157
167,YES,3.52,NA,NA,Math,USA,California,California,DOM,NO,Male,30
168,YES,3.9,170,NA,Math,USA,Maryland,Maryland,DOM,NO,Male,63
169,YES,3.57,170,NA,Physics,USA,NewYork,New York,DOM,NO,Female,30
170,YES,3.53,166,NA,Statistics,USA,Madison,Wisconsin,DOM,NO,Female,49
171,YES,3.85,167,NA,Statistics,China,China,NA,INT,NO,Male,
172,YES,3.46,169,NA,Math,USA,Emory,Georgia,DOM,NO,Male,21
173,YES,3.93,170,NA,Accounting,USA,Georgetown,DC,DOM,NO,Female,22
174,YES,3.85,159,NA,Math,USA,California,California,DOM,YES,Male,30
175,YES,3.37,164,NA,Statistics,USA,California,California,DOM,YES,Male,30
176,YES,3.87,164,NA,Physics,USA,Harvard,Massachusetts,DOM,YES,Male,2
177,YES,3.71,170,107,Economics,China,China,NA,INT,YES,Female,
356,NO,3.15,167,NA,Statistics,USA,Urbana,Illinois,DOM,NO,Male,46
360,NO,3.48,168,NA,Statistics,USA,Urbana,Illinois,DOM,NO,Female,46
180,YES,3.19,163,NA,Math,USA,Macalester,Minnesota,DOM,YES,Female,27
2,YES,3.65,161,NA,Math,USA,UWash,Washington,DOM,NO,Male,59
182,YES,3.68,170,103,Other,China,China,NA,INT,YES,Female,
183,YES,3.32,166,NA,Math,USA,Macalester,Minnesota,DOM,YES,Female,27
184,YES,3.37,169,NA,Other,USA,Rutgers,New Jersey,DOM,YES,Male,56
185,YES,3.83,169,102,Other,China,China,NA,INT,YES,Male,
186,YES,3.77,169,NA,Math,USA,Case Western,Ohio,DOM,YES,Female,42
187,YES,3.4,156,NA,Statistics,USA,Madison,Wisconsin,DOM,YES,Male,49
188,YES,3.12,165,NA,Engineering,USA,Rutgers,New Jersey,DOM,YES,Male,56
189,YES,3.68,168,NA,Math,USA,Dickinson,Pennsylvania,DOM,YES,Male,51
