ID,OfferOfAdmissionExtended,GPA,GRE,TOEFL,Major,CollegeRegion,CollegeName,State,Dom_Int,Matriculating,Gender,UniRank
190,YES,3.57,169,NA,Statistics,USA,Maryland,Maryland,DOM,YES,Female,63
191,YES,3.49,166,NA,Statistics,USA,Berkeley,California,INT,YES,Female,
192,YES,3.41,167,NA,Math,USA,Madison,Wisconsin,DOM,YES,Male,49
193,YES,3.59,170,NA,Math,USA,Penn,Pennsylvania,DOM,YES,Male,8
194,YES,3.29,150,NA,Economics,USA,California,California,DOM,YES,Female,30
195,YES,3.15,155,NA,Other,USA,Maryland,Maryland,DOM,YES,Male,63
196,YES,3.72,166,NA,Math,USA,California,California,DOM,YES,Female,30
197,YES,3.78,168,105,Economics,China,China,NA,INT,YES,Female,
198,YES,3.65,166,NA,Math,USA,Penn,Pennsylvania,DOM,YES,Female,8
199,YES,3.54,167,NA,Economics,USA,Ohio,Ohio,DOM,YES,Female,56
200,YES,3.66,170,NA,Other,USA,Michigan,Michigan,DOM,YES,Female,85
201,YES,3.54,170,NA,Statistics,China,China,NA,INT,YES,Female,
202,YES,3.7,168,102,Management,China,China,NA,INT,YES,Female,
14,YES,3.79,166,NA,Statistics,USA,UWash,Washington,DOM,NO,Female,59
204,YES,3.41,170,102,Math,China,China,NA,INT,YES,Female,
205,YES,3.72,168,NA,Statistics,USA,GWU,DC,DOM,YES,Female,63
206,YES,3.61,169,108,Other,China,China,NA,INT,YES,Female,
207,YES,3.32,168,NA,Math,USA,Macalester,Minnesota,DOM,YES,Female,27
208,YES,3.88,165,NA,CS,USA,Colorado,Colorado,DOM,YES,Male,96
209,YES,3.29,165,NA,CS,USA,Madison,Wisconsin,DOM,YES,Female,49
210,YES,3.51,170,NA,Math,USA,Carolina,North Carolina,DOM,YES,Female,30
39,YES,3.65,168,NA,Economics,USA,UWash,Washington,DOM,NO,Female,59
212,YES,3.45,166,NA,Math,USA,Florida,Florida,DOM,YES,Male,35
213,YES,3.76,162,NA,Economics,USA,Michigan,Michigan,DOM,YES,Female,85
52,YES,3.51,166,NA,Economics,USA,UWash,Washington,DOM,NO,Female,59
215,YES,3.36,164,NA,Economics,China,UMass,Massachusetts,INT,YES,Female,
216,YES,3.74,167,NA,Economics,USA,Michigan,Michigan,DOM,YES,Female,85
217,YES,3.74,158,NA,Engineering,USA,Military,NA,DOM,YES,Male,
218,YES,3.58,155,NA,Statistics,USA,Carnegie,Pennsylvania,DOM,YES,Female,25
219,YES,3.28,166,NA,Math,USA,Maryland,Maryland,DOM,YES,Male,63
220,YES,3.68,161,NA,Statistics,USA,Penn,Pennsylvania,INT,YES,Female,
221,YES,3.62,168,105,Engineering,China,Harbin,NA,INT,YES,Female,
143,YES,3.44,170,NA,Math,USA,UWash,Washington,DOM,NO,Male,59
223,YES,3.08,158,NA,Other,USA,Military,NA,DOM,YES,Male,
224,YES,3.09,168,NA,Statistics,USA,Maryland,Maryland,DOM,YES,Male,63
178,YES,3.27,166,NA,Math,USA,UWash,Washington,DOM,YES,Female,59
226,YES,3.81,167,99,Management,China,China,NA,INT,YES,Female,
227,YES,3.15,166,NA,Engineering,USA,California,California,INT,YES,Female,
228,YES,3.55,168,NA,Statistics,USA,California,California,DOM,YES,Male,30
229,YES,3.48,166,109,Other,China,China,NA,INT,YES,Female,
230,YES,3.16,161,NA,Other,USA,Iowa,Iowa,DOM,YES,Female,89
231,YES,3.75,166,101,Economics,China,China,NA,DOM,YES,Female,
232,YES,3.54,168,103,Statistics,China,China,NA,INT,YES,Male,
233,YES,3.52,170,NA,Math,USA,Penn,Pennsylvania,DOM,YES,Male,8
234,YES,3.82,170,NA,Statistics,USA,Southern Methodist,Texas,DOM,YES,Male,59
203,YES,3.34,170,NA,Math,USA,UWash,Washington,DOM,YES,Male,59
236,YES,3.72,170,100,Other,China,China,NA,INT,YES,Female,
237,YES,3.8,169,103,Finance,China,China,NA,INT,YES,Female,
238,YES,3.38,170,105,Engineering,China,China,NA,INT,YES,Female,
239,YES,3.79,170,NA,Math,USA,Iowa,Iowa,DOM,YES,Female,89
240,YES,3.19,166,NA,Economics,USA,Maryland,Maryland,INT,YES,Male,
241,YES,3.92,159,104,Management,China,China,NA,INT,YES,Female,
242,YES,3.56,165,102,CS,China,China,NA,INT,YES,Female,
243,YES,3.57,170,NA,Accounting,UK,Scotland,NA,INT,YES,Female,
244,YES,3.25,166,NA,CS,Singapore,China,NA,INT,YES,Female,
245,YES,3.54,167,NA,CS,China,China,NA,INT,YES,Male,
246,YES,3.65,170,NA,Finance,USA,Delaware,Delaware,DOM,YES,Female,89
214,YES,3.39,162,NA,Other,USA,UWash,Washington,DOM,YES,Female,59
281,NO,2.91,165,NA,Math,USA,UWash,Washington,DOM,NO,Male,59
249,YES,3.52,165,NA,Statistics,USA,Florida,Illinois,DOM,YES,Female,35
250,YES,3.72,167,NA,Statistics,USA,California,California,DOM,YES,Female,30
251,YES,2.9,157,NA,Math,USA,Maryland,Maryland,DOM,YES,Female,63
252,YES,3.75,169,NA,CS,USA,Rutgers,New Jersey,DOM,YES,Male,56
253,YES,3.47,170,NA,Math,USA,NewYork,New York,DOM,YES,Female,30
222,YES,3.91,167,NA,Other,USA,Vanderbilt,Tennessee,DOM,YES,Male,14
255,YES,3.87,170,103,Other,China,China,NA,INT,YES,Female,
256,YES,3.94,169,105,Math,UK,London,NA,INT,YES,Male,
257,YES,3.96,163,NA,Statistics,USA,Madison,Wisconsin,DOM,YES,Female,49
258,YES,3.51,167,NA,Math,USA,Michigan,Michigan,DOM,YES,Female,85
259,YES,3.91,166,NA,Economics,USA,Minnesota,Minnesota,DOM,YES,Female,76
260,YES,3.4,167,NA,Engineering,USA,Penn,Pennsylvania,DOM,YES,Female,8
334,NO,3.23,169,NA,Math,USA,Vanderbilt,Tennessee,DOM,NO,Male,14
262,YES,3.65,170,109,Math,USA,NewYork,New York,DOM,YES,Male,30
263,YES,3.59,169,NA,Math,USA,Ohio,Ohio,DOM,YES,Female,56
264,YES,3.11,170,106,Statistics,China,China,NA,INT,YES,Male,
265,YES,3.8,166,NA,Finance,USA,Connecticut,Connecticut,DOM,YES,Female,46
266,YES,3.71,166,NA,Math,USA,California,California,DOM,YES,Male,30
267,YES,3.58,169,NA,Finance,China,China,NA,INT,YES,Female,
268,YES,3.24,169,NA,Math,USA,Iowa,Iowa,DOM,YES,Male,89
269,NO,3.38,164,NA,Economics,USA,UMass,Massachusetts,DOM,NO,Female,70
270,NO,3.76,168,100,Other,China,China,NA,INT,NO,Female,56
271,NO,3.02,158,NA,Engineering,Pakistan,NUST,NA,INT,NO,Male,56
272,NO,2.64,153,111,CS,India,India,NA,INT,NO,Female,
273,NO,3.07,170,98,Other,China,China,NA,INT,NO,Female,
274,NO,3,168,NA,CS,USA,UMass,Massachusetts,DOM,NO,Male,70
275,NO,2.88,170,105,Other,China,China,NA,INT,NO,Male,56
276,NO,3.08,170,99,Economics,China,China,NA,INT,NO,Male,56
277,NO,3.33,169,NA,Math,USA,Berkeley,California,DOM,NO,Male,22
278,NO,3.47,163,NA,Engineering,USA,Purdue,Indiana,DOM,NO,Male,56
279,NO,3.26,169,99,Other,China,China,NA,INT,NO,Female,
280,NO,3.44,164,NA,Math,Scotland,McGill,NA,INT,NO,Male,
9,YES,3.31,168,NA,Math,USA,Virginia,Virginia,DOM,NO,Male,25
282,NO,3.4,170,108,Economics,China,China,NA,INT,NO,Male,
283,NO,3.68,165,NA,Finance,USA,Arizona,Arizona,DOM,NO,Male,106
284,NO,3.55,169,103,Engineering,China,China,NA,INT,NO,Female,
285,NO,3.1,167,105,Other,China,China,NA,INT,NO,Female,
286,NO,3.67,170,100,Other,China,China,NA,INT,NO,Male,
287,NO,3.24,162,NA,Other,USA,California,California,DOM,NO,Female,30
288,NO,2.94,169,NA,CS,USA,Harvard,Massachusetts,DOM,NO,Male,2
289,NO,3.34,167,96,Statistics,China,China,NA,INT,NO,Female,
290,NO,3.52,168,106,Finance,USA,NewYork,New York,DOM,NO,Male,30
291,NO,3.65,170,101,Math,China,China,NA,INT,NO,Male,
292,NO,3.25,169,108,Statistics,China,China,NA,INT,NO,Female,
293,NO,3.39,167,NA,Economics,USA,Arizona,Arizona,DOM,NO,Male,106
294,NO,3.41,170,96,Engineering,China,China,NA,INT,NO,Female,
295,NO,3.14,162,NA,CS,USA,Rutgers,New Jersey,DOM,NO,Male,56
115,YES,3.93,170,NA,Math,USA,Virginia,Virginia,DOM,NO,Male,25
297,NO,3.57,168,105,Other,China,China,NA,INT,NO,Female,
298,NO,3.7,169,100,Statistics,China,China,NA,INT,NO,Female,
299,NO,3.51,170,106,Statistics,China,China,NA,INT,NO,Female,
300,NO,3.35,167,98,CS,China,China,NA,INT,NO,Male,
301,NO,3.28,168,98,CS,China,China,NA,INT,NO,Female,
302,NO,3.17,NA,NA,Management,USA,Clemson,South Carolina,DOM,NO,Female,66
303,NO,3.01,162,NA,Math,USA,Oakland,California,DOM,NO,Male,200
304,NO,3.18,170,NA,Economics,China,China,NA,INT,NO,Female,
305,NO,3.38,170,100,Management,China,China,NA,INT,NO,Male,
306,NO,3.65,167,106,Management,China,China,NA,INT,NO,Female,
307,NO,3.4,167,NA,Economics,USA,Penn,Pennsylvania,DOM,NO,Female,8
308,NO,3.57,167,99,CS,China,China,NA,INT,NO,Male,
309,NO,3.4,169,94,Statistics,China,China,NA,INT,NO,Male,
310,NO,3.85,169,NA,Statistics,USA,California,California,DOM,NO,Female,30
311,NO,2.97,167,NA,Math,USA,Maryland,Maryland,DOM,NO,Male,63
312,NO,3.58,168,NA,Other,USA,Indiana,Indiana,DOM,NO,Female,89
313,NO,3.08,170,99,CS,China,China,NA,INT,NO,Female,
314,NO,3.69,168,NA,Other,USA,Colorado,Colorado,DOM,NO,Female,96
315,NO,3.24,165,104,Other,China,China,NA,INT,NO,Female,
316,NO,3.6,165,99,Other,China,China,NA,INT,NO,Female,
317,NO,3.65,170,95,Other,China,China,NA,INT,NO,Female,
318,NO,3.68,166,NA,Math,USA,Ohio,Ohio,DOM,NO,Female,56
319,NO,2.98,168,NA,Engineering,USA,California,California,DOM,NO,Male,30
320,NO,3.1,169,NA,Engineering,USA,Georgia,Georgia,DOM,NO,Male,35
321,NO,3.55,166,102,Management,China,China,NA,INT,NO,Male,
322,NO,3.65,150,NA,Math,USA,California,California,DOM,NO,Female,30
323,NO,3.19,155,NA,CS,India,India,India,INT,NO,Male,
324,NO,3.9,165,NA,Finance,USA,Illinois,Illinois,DOM,NO,Male,46
325,NO,3.31,158,117,Engineering,India,India,NA,INT,NO,Female,
326,NO,3.63,169,100,Engineering,China,China,NA,INT,NO,Male,
327,NO,3.29,168,98,Math,China,China,NA,DOM,NO,Female,
328,NO,3.05,164,NA,Math,USA,Emory,Georgia,DOM,NO,Female,21
329,NO,3.19,170,NA,Math,USA,NewYork,New York,DOM,NO,Male,30
330,NO,3.52,161,NA,Other,USA,Princeton,New Jersey,DOM,NO,Female,1
331,NO,3.1,157,NA,Other,USA,Maryland,Maryland,DOM,NO,Male,63
332,NO,2.61,163,NA,Physics,China,China,NA,INT,NO,Male,
333,NO,3.71,169,94,Statistics,China,China,NA,INT,NO,Female,
247,YES,4,169,NA,Math,USA,Virginia,Virginia,DOM,YES,Female,25
335,NO,3.24,170,NA,Math,USA,Ohio,Ohio,DOM,NO,Male,56
336,NO,3.15,166,NA,Engineering,USA,California,California,DOM,NO,Female,30
337,NO,2.66,169,NA,Engineering,USA,Hopkins,Maryland,DOM,NO,Female,10
338,NO,3.28,152,98,Engineering,South America,Columbia,NA,INT,NO,Male,
339,NO,3.64,168,109,Other,China,China,NA,INT,NO,Female,
340,NO,3.68,170,101,Management,China,China,NA,INT,NO,Female,
341,NO,3.09,169,NA,Math,USA,Ohio,Ohio,DOM,NO,Male,56
342,NO,3,170,NA,Math,USA,California,California,DOM,NO,Male,30
343,NO,2.96,168,92,Other,China,China,NA,INT,NO,Female,
344,NO,3.22,166,NA,CS,USA,Brandeis,Massachusetts,DOM,NO,Female,35
345,NO,3.1,165,101,Engineering,China,China,NA,INT,NO,Female,
346,NO,3.34,167,102,Management,China,China,NA,INT,NO,Male,
347,NO,2.64,170,92,Finance,China,China,NA,INT,NO,Male,
348,NO,2.7,169,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
349,NO,3.16,168,98,Statistics,China,China,NA,INT,NO,Male,
350,NO,3.17,166,NA,Economics,USA,Maryland,Maryland,DOM,NO,Male,63
351,NO,3.23,162,NA,Economics,USA,Northwestern,Illinois,DOM,NO,Male,10
352,NO,3.48,165,NA,Management,USA,NewYork,New York,DOM,NO,Male,30
353,NO,3.02,164,NA,Math,USA,Rutgers,New Jersey,DOM,NO,Female,56
354,NO,3.04,170,100,Math,China,China,NA,INT,NO,Male,
355,NO,3.36,169,103,Management,China,China,NA,INT,NO,Male,
375,NO,3.75,169,98,Finance,USA,Virginia,Virginia,DOM,NO,Female,25
357,NO,3.59,169,104,Statistics,China,China,NA,INT,NO,Female,
358,NO,3.78,168,105,Statistics,China,China,NA,INT,NO,Female,
359,NO,3.54,157,NA,Math,USA,NewYork,New York,DOM,NO,Female,30
181,YES,3.14,161,NA,Math,USA,Wake Forest,North Carolina,DOM,YES,Male,27
361,NO,2.98,168,NA,Management,China,China,NA,INT,NO,Female,
362,NO,3.37,167,NA,Engineering,USA,Florida,Florida,DOM,NO,Male,35
363,NO,3.54,168,104,Management,China,China,NA,INT,NO,Female,
364,NO,2.75,50,87,Management,China,China,NA,INT,NO,Male,
365,NO,3.31,168,108,CS,China,China,NA,INT,NO,Female,
366,NO,3.84,166,NA,Management,USA,Minnesota,Minnesota,DOM,NO,Female,76
367,NO,3.36,166,97,CS,China,China,NA,INT,NO,Female,
368,NO,3.66,170,112,Other,China,China,NA,INT,NO,Female,
369,NO,3.63,162,95,Management,China,China,NA,INT,NO,Male,
370,NO,2.83,166,NA,Math,USA,California,California,DOM,NO,Male,30
371,NO,3.33,169,103,CS,China,China,NA,INT,NO,Male,
372,NO,3.21,167,110,Statistics,China,China,NA,INT,NO,Female,
373,NO,2.9,165,NA,Statistics,USA,Berkeley,California,DOM,NO,Female,22
374,NO,3.64,160,NA,Other,USA,Penn,Pennsylvania,DOM,NO,Female,8
6,YES,3.57,168,NA,Math,USA,Wesleyan,Connecticut,DOM,NO,Male,18
376,NO,3.49,170,99,Engineering,China,China,NA,INT,NO,Male,
377,NO,3.14,167,NA,Math,USA,California,California,DOM,NO,Male,30
378,NO,2.58,169,NA,CS,USA,Penn,Pennsylvania,DOM,NO,Male,8
379,NO,3.66,168,NA,Economics,China,China,NA,INT,NO,Female,
380,NO,3.19,163,NA,Math,USA,Rutgers,New Jersey,DOM,NO,Male,56
381,NO,3.36,163,NA,Finance,USA,NewYork,New York,DOM,NO,Male,30